,keyword,identity,general,labeller,label
566,cyberfuc,0,1,A0,general
567,cocksucked,0,1,A0,general
568,b00bs,1,0,A0,identity
569,cocksucks,0,1,A0,general
570,that fag,1,0,A0,identity
571,fistfucks,0,1,A0,general
572,c0ck,0,1,A1,general
573,carpet muncher,1,0,A0,identity
574,pricks,0,1,A1,general
575,pusse,0,1,A0,general
576,coonass,1,0,A0,identity
577,that nigger,1,0,A0,identity
578,cyberfuck,0,1,A0,general
579,scrote,0,1,A1,general
580,a fucking queer,1,0,A0,identity
581,skank,1,0,A1,identity
582,ugly dyke,1,0,A0,identity
583,fingerfucked,0,1,A0,general
584,duche,0,1,A0,general
585,nobjokey,0,1,A0,general
586,motherfuckka,0,1,A0,general
587,shits,0,1,A1,general
588,fistfuckings,0,1,A0,general
589,shitfuck,0,1,A0,general
590,mutha,0,1,A1,general
591,phuked,0,1,A0,general
592,numbnuts,0,1,A1,general
593,knobend,0,1,A0,general
594,faggot if you ever,1,0,A0,identity
595,motherfucked,0,1,A0,general
596,fuckheads,0,1,A0,general
597,tittywank,0,1,A0,general
598,bastard,0,1,A1,general
599,retarded,1,0,A1,identity
600,fuckwhit,1,0,A0,identity
601,fuckwit,0,1,A0,general
602,kummer,0,1,A0,general
603,bitch made nigga,1,0,A0,identity
604,fucker,0,1,A0,general
605,spic cop,1,0,A0,identity
606,nigga and his,1,0,A0,identity
607,nobhead,0,1,A0,general
608,your nigger,1,0,A0,identity
609,fcuker,0,1,A0,general
610,mothafucks,0,1,A0,general
611,pecker,1,0,A0,identity
612,lame nigga you a,1,0,A0,identity
613,s.o.b.,0,1,A0,general
614,white person,1,0,A0,identity
615,gay ass,1,0,A0,identity
616,f4nny,1,0,A0,identity
617,a fag but,1,0,A0,identity
618,the fuck do,0,1,A0,general
619,a bitch made nigga,1,0,A0,identity
620,how many niggers,1,0,A0,identity
621,boiolas,1,0,A0,identity
622,fingerfucking,0,1,A0,general
623,dlck,0,1,A0,general
624,fuckin,0,1,A0,general
625,fuker,0,1,A0,general
626,shitter,0,1,A0,general
627,wetbacks,1,0,A0,identity
628,fucking hate,0,1,A0,general
629,of fags,1,0,A0,identity
630,cyberfuckers,0,1,A0,general
631,raped by,0,1,A0,general
632,crap,0,1,A0,general
633,chinks,1,0,A0,identity
634,shut up nigger,1,0,A0,identity
635,fucka,0,1,A0,general
636,faggot smh,1,0,A0,identity
637,cockhead,0,1,A0,general
638,pissoff,0,1,A0,general
639,gangbanged,0,1,A0,general
640,a lame nigga you,1,0,A0,identity
641,savages that,1,0,A0,identity
642,dykes,1,0,A3,identity
643,butthole,0,1,A3,general
644,like da colored,1,0,A3,identity
645,shi+,0,1,A3,general
646,wanky,0,1,A3,general
647,penisfucker,0,1,A3,general
648,pussy,0,1,A3,general
649,hoer,1,0,A3,identity
650,whigger,1,0,A3,identity
651,up nigger,1,0,A3,identity
652,f u c k e r,0,1,A3,general
653,nigger ass,1,0,A3,identity
654,dog-fucker,0,1,A3,general
655,jiz,0,1,A3,general
656,muzzie,1,0,A3,identity
657,fux0r,0,1,A3,general
658,kunilingus,0,1,A3,general
659,wanker,0,1,A3,general
660,masterb8,0,1,A3,general
661,pissers,0,1,A3,general
662,bugger,0,1,A3,general
663,fanyy,0,1,A3,general
664,d1ck,0,1,A3,general
665,fuckers,0,1,A3,general
666,you fuck wit,0,1,A3,general
667,cock,0,1,A3,general
668,cuntlick,0,1,A3,general
669,fellatio,0,1,A3,general
670,phukked,0,1,A3,general
671,testicle,0,1,A3,general
672,boob,0,1,A3,general
673,titwank,0,1,A3,general
674,faggots,1,0,A3,identity
675,boner,0,1,A3,general
676,of white trash,1,0,A3,identity
677,sh!t,0,1,A3,general
678,you fuck wit a,0,1,A3,general
679,shitty,0,1,A3,general
680,knob,0,1,A3,general
681,white trash,1,0,A3,identity
682,c0cksucker,0,1,A3,general
683,moon cricket,1,0,A3,identity
684,u fuckin,0,1,A3,general
685,limey,1,0,A3,identity
686,trailer park,0,1,A3,general
687,to rape,0,1,A3,general
688,phuking,0,1,A3,general
689,pissin,0,1,A3,general
690,trailer trash,1,0,A3,identity
691,is a fucking,0,1,A3,general
692,vagina,0,1,A3,general
693,phuk,0,1,A3,general
694,many niggers,1,0,A3,identity
695,dinks,1,0,A3,identity
696,w00se,0,1,A3,general
697,cok,0,1,A3,general
698,tosser,0,1,A3,general
